,Team,Conference,Division,Venue Name,Venue City,Venue State,Venue Capacity,Playing Surface,Stadium Type,Team ID
0,Buffalo Bills,AFC,AFC East,New Era Field,Orchard Park,NY,73079,artificial,outdoor,768c92aa-75ff-4a43-bcc0-f2798c2e1724
1,Miami Dolphins,AFC,AFC East,Hard Rock Stadium,Miami Gardens,FL,76100,turf,outdoor,4809ecb0-abd3-451d-9c4a-92a90b83ca06
2,New York Jets,AFC,AFC East,MetLife Stadium,East Rutherford,NJ,82500,artificial,outdoor,5fee86ae-74ab-4bdd-8416-42a9dd9964f3
3,New England Patriots,AFC,AFC East,Gillette Stadium,Foxborough,MA,68756,artificial,outdoor,97354895-8c77-4fd4-a860-32e62ea7382a
4,Cincinnati Bengals,AFC,AFC North,Paul Brown Stadium,Cincinnati,OH,65535,artificial,outdoor,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123
5,Cleveland Browns,AFC,AFC North,FirstEnergy Stadium,Cleveland,OH,71516,turf,outdoor,d5a2eb42-8065-4174-ab79-0a6fa820e35e
6,Baltimore Ravens,AFC,AFC North,M&T Bank Stadium,Baltimore,MD,71008,turf,outdoor,ebd87119-b331-4469-9ea6-d51fe3ce2f1c
7,Pittsburgh Steelers,AFC,AFC North,Heinz Field,Pittsburgh,PA,65050,turf,outdoor,cb2f9f1f-ac67-424e-9e72-1475cb0ed398
8,Indianapolis Colts,AFC,AFC South,Lucas Oil Stadium,Indianapolis,IN,67000,artificial,retractable_dome,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9
9,Jacksonville Jaguars,AFC,AFC South,EverBank Field,Jacksonville,FL,67246,turf,outdoor,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de
10,Houston Texans,AFC,AFC South,NRG Stadium,Houston,TX,71054,artificial,retractable_dome,82d2d380-3834-4938-835f-aec541e5ece7
11,Tennessee Titans,AFC,AFC South,Nissan Stadium,Nashville,TN,69143,turf,outdoor,d26a1ca5-722d-4274-8f97-c92e49c96315
12,Denver Broncos,AFC,AFC West,Sports Authority Field at Mile High,Denver,CO,76125,turf,outdoor,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0
13,Los Angeles Chargers,AFC,AFC West,StubHub Center,Carson,CA,27000,turf,outdoor,1f6dcffb-9823-43cd-9ff4-e7a8466749b5
14,Kansas City Chiefs,AFC,AFC West,Arrowhead Stadium,Kansas City,MO,79451,turf,outdoor,6680d28d-d4d2-49f6-aace-5292d3ec02c2
15,Oakland Raiders,AFC,AFC West,Oakland Alameda Coliseum,Oakland,CA,53200,turf,outdoor,1c1cec48-6352-4556-b789-35304c1a6ae1
16,Dallas Cowboys,NFC,NFC East,AT&T Stadium,Arlington,TX,80000,artificial,retractable_dome,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060
17,Philadelphia Eagles,NFC,NFC East,Lincoln Financial Field,Philadelphia,PA,68532,turf,outdoor,386bdbf9-9eea-4869-bb9a-274b0bc66e80
18,New York Giants,NFC,NFC East,MetLife Stadium,East Rutherford,NJ,82500,artificial,outdoor,04aa1c9d-66da-489d-b16a-1dee3f2eec4d
19,Washington Redskins,NFC,NFC East,FedExField,Landover,MD,83000,turf,outdoor,22052ff7-c065-42ee-bc8f-c4691c50e624
20,Chicago Bears,NFC,NFC North,Soldier Field,Chicago,IL,61500,turf,outdoor,7b112545-38e6-483c-a55c-96cf6ee49cb8
21,Detroit Lions,NFC,NFC North,Ford Field,Detroit,MI,65000,artificial,dome,c5a59daa-53a7-4de0-851f-fb12be893e9e
22,Green Bay Packers,NFC,NFC North,Lambeau Field,Green Bay,WI,80750,turf,outdoor,a20471b4-a8d9-40c7-95ad-90cc30e46932
23,Minnesota Vikings,NFC,NFC North,U.S. Bank Stadium,Minneapolis,MN,66200,turf,dome,33405046-04ee-4058-a950-d606f8c30852
24,Tampa Bay Buccaneers,NFC,NFC South,Raymond James Stadium,Tampa,FL,65890,turf,outdoor,4254d319-1bc7-4f81-b4ab-b5e6f3402b69
25,Atlanta Falcons,NFC,NFC South,Mercedes-Benz Stadium,Atlanta,GA,71000,artificial,retractable_dome,e6aa13a4-0055-48a9-bc41-be28dc106929
26,Carolina Panthers,NFC,NFC South,Bank of America Stadium,Charlotte,NC,73778,turf,outdoor,f14bf5cc-9a82-4a38-bc15-d39f75ed5314
27,New Orleans Saints,NFC,NFC South,Mercedes-Benz Superdome,New Orleans,LA,76468,artificial,dome,0d855753-ea21-4953-89f9-0e20aff9eb73
28,San Francisco 49ers,NFC,NFC West,Levi's Stadium,Santa Clara,CA,68500,turf,outdoor,f0e724b0-4cbf-495a-be47-013907608da9
29,Arizona Cardinals,NFC,NFC West,University of Phoenix Stadium,Glendale,AZ,63400,turf,retractable_dome,de760528-1dc0-416a-a978-b510d20692ff
30,Los Angeles Rams,NFC,NFC West,Los Angeles Memorial Coliseum,Los Angeles,CA,93607,turf,outdoor,2eff2a03-54d4-46ba-890e-2bc3925548f3
31,Seattle Seahawks,NFC,NFC West,CenturyLink Field,Seattle,WA,67000,artificial,outdoor,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8
